AmaCatID	AmaPath	WowCatID_candidate	WowPath	score	decision_reason	comment
2944	Books/Children's Books/Education & Reference/History/Modern	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.546	needs_review_l2map	
2946	Books/Children's Books/Education & Reference/History/Renaissance	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.528	needs_review_l2map	
2947	Books/Children's Books/Education & Reference/History/United States	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.539	needs_review_l2map	
2948	Books/Children's Books/Education & Reference/History/United States/1800s	553005	本・コミック・雑誌/絵本・児童書/絵本	0.489	needs_review_l2map	
2949	Books/Children's Books/Education & Reference/History/United States/1900s	553005	本・コミック・雑誌/絵本・児童書/絵本	0.489	needs_review_l2map	
2955	Books/Children's Books/Education & Reference/History/United States/Colonial & Revolutionary	553002	本・コミック・雑誌/絵本・児童書/ノンフィクション・伝記	0.472	needs_review_l2map	
2963	Books/Children's Books/Education & Reference/History/United States/General	553002	本・コミック・雑誌/絵本・児童書/ノンフィクション・伝記	0.478	needs_review_l2map	
2965	Books/Children's Books/Education & Reference/History/United States/State & Local	553005	本・コミック・雑誌/絵本・児童書/絵本	0.472	needs_review_l2map	
2966	Books/Children's Books/Literature & Fiction	553005	本・コミック・雑誌/絵本・児童書/絵本	0.592	needs_review_l2map	
2977	Books/Children's Books/Fairy Tales, Folk Tales & Myths	553005	本・コミック・雑誌/絵本・児童書/絵本	0.564	needs_review_l2map	
2978	Books/Children's Books/Fairy Tales, Folk Tales & Myths/African	553005	本・コミック・雑誌/絵本・児童書/絵本	0.542	needs_review_l2map	
2979	Books/Children's Books/Fairy Tales, Folk Tales & Myths/United States	553005	本・コミック・雑誌/絵本・児童書/絵本	0.558	needs_review_l2map	
2984	Books/Children's Books/Fairy Tales, Folk Tales & Myths/Anthologies	553004	本・コミック・雑誌/絵本・児童書/実用・工作・趣味	0.568	needs_review_l2map	
2985	Books/Children's Books/Fairy Tales, Folk Tales & Myths/Arthurian	553005	本・コミック・雑誌/絵本・児童書/絵本	0.534	needs_review_l2map	
2986	Books/Children's Books/Fairy Tales, Folk Tales & Myths/Asian	553005	本・コミック・雑誌/絵本・児童書/絵本	0.550	needs_review_l2map	
